fname,talhao,classe,bounds_minx,bounds_miny,bounds_maxx,bounds_maxy,cobertura_valida,cobertura_pos_mascara,frac_mascara_total,n_instancias,n_pixels_cafe
train_000000,multiplos_mosaico,misto,709908.90688,7698510.16074,709984.63168,7698585.88554,0.2081775665283203,0.2081775665283203,0.0,45,101487
train_000001,talhao_7_1,adulto,709924.06663,7698510.16074,709999.79143,7698585.88554,0.3042421340942383,0.3042421340942383,0.0,58,155365
train_000002,talhao_7_1,adulto,709939.22638,7698510.16074,710014.95118,7698585.88554,0.41576099395751953,0.41576099395751953,0.0,79,202408
train_000003,talhao_7_1,adulto,709954.38613,7698510.16074,710030.1109300001,7698585.88554,0.4918861389160156,0.4918861389160156,0.0,93,227550
train_000004,talhao_7_1,adulto,709969.54588,7698510.16074,710045.2706800001,7698585.88554,0.4746685028076172,0.4746685028076172,0.0,111,208847
train_000005,talhao_7_1,adulto,709984.70563,7698510.16074,710060.4304300001,7698585.88554,0.3543968200683594,0.3543968200683594,0.0,101,143615
train_000006,talhao_7_1,adulto,709999.86538,7698510.16074,710075.59018,7698585.88554,0.25838184356689453,0.25838184356689453,0.0,89,89798
train_000007,multiplos_mosaico,misto,709908.90688,7698495.000990001,709984.63168,7698570.7257900005,0.1948223114013672,0.1948223114013672,0.0,43,98940
train_000008,talhao_7_1,adulto,709924.06663,7698495.000990001,709999.79143,7698570.7257900005,0.3309650421142578,0.3309650421142578,0.0,59,172013
train_000009,talhao_7_1,adulto,709939.22638,7698495.000990001,710014.95118,7698570.7257900005,0.4825620651245117,0.4825620651245117,0.0,75,247296
train_000010,talhao_7_1,adulto,709954.38613,7698495.000990001,710030.1109300001,7698570.7257900005,0.6101312637329102,0.6101312637329102,0.0,91,302987
train_000011,talhao_7_1,adulto,709969.54588,7698495.000990001,710045.2706800001,7698570.7257900005,0.6425685882568359,0.6425685882568359,0.0,116,306217
train_000012,talhao_7_1,adulto,709984.70563,7698495.000990001,710060.4304300001,7698570.7257900005,0.5474891662597656,0.5474891662597656,0.0,119,247296
train_000013,talhao_7_1,adulto,709999.86538,7698495.000990001,710075.59018,7698570.7257900005,0.4123401641845703,0.4123401641845703,0.0,103,174808
train_000014,talhao_7_1,adulto,710015.0251300001,7698495.000990001,710090.74993,7698570.7257900005,0.2607002258300781,0.2607002258300781,0.0,86,99584
train_000015,multiplos_mosaico,misto,709908.90688,7698479.84124,709984.63168,7698555.56604,0.18303394317626953,0.18303394317626953,0.0,37,102115
train_000016,talhao_7_1,adulto,709924.06663,7698479.84124,709999.79143,7698555.56604,0.3592548370361328,0.3592548370361328,0.0,52,198647
train_000017,talhao_7_1,adulto,709939.22638,7698479.84124,710014.95118,7698555.56604,0.549957275390625,0.549957275390625,0.0,68,298756
train_000018,talhao_7_1,adulto,709954.38613,7698479.84124,710030.1109300001,7698555.56604,0.7185735702514648,0.7185735702514648,0.0,87,380564
train_000019,talhao_7_1,adulto,709969.54588,7698479.84124,710045.2706800001,7698555.56604,0.8174428939819336,0.8174428939819336,0.0,122,414612
train_000020,talhao_7_1,adulto,709984.70563,7698479.84124,710060.4304300001,7698555.56604,0.7467117309570312,0.7467117309570312,0.0,125,369078
train_000021,talhao_7_1,adulto,709999.86538,7698479.84124,710075.59018,7698555.56604,0.5919637680053711,0.5919637680053711,0.0,109,284367
train_000022,talhao_7_1,adulto,710015.0251300001,7698479.84124,710090.74993,7698555.56604,0.4012184143066406,0.4012184143066406,0.0,92,184233
train_000023,talhao_7_1,adulto,710030.1848800001,7698479.84124,710105.90968,7698555.56604,0.2327556610107422,0.2327556610107422,0.0,70,102436
train_000024,multiplos_mosaico,misto,709908.90688,7698464.68149,709984.63168,7698540.40629,0.17891979217529297,0.17891979217529297,0.0,27,110974
train_000025,talhao_7_1,adulto,709924.06663,7698464.68149,709999.79143,7698540.40629,0.37911510467529297,0.37911510467529297,0.0,44,219606
train_000026,talhao_7_1,adulto,709939.22638,7698464.68149,710014.95118,7698540.40629,0.579310417175293,0.579310417175293,0.0,51,338038
train_000027,talhao_7_1,adulto,709954.38613,7698464.68149,710030.1109300001,7698540.40629,0.7785110473632812,0.7785110473632812,0.0,71,439671
train_000028,talhao_7_1,adulto,709969.54588,7698464.68149,710045.2706800001,7698540.40629,0.9208564758300781,0.9208564758300781,0.0,109,494070
train_000029,talhao_7_1,adulto,709984.70563,7698464.68149,710060.4304300001,7698540.40629,0.8908481597900391,0.8908481597900391,0.0,130,461760
train_000030,talhao_7_1,adulto,709999.86538,7698464.68149,710075.59018,7698540.40629,0.7509899139404297,0.7509899139404297,0.0,118,381401
train_000031,talhao_7_1,adulto,710015.0251300001,7698464.68149,710090.74993,7698540.40629,0.5596446990966797,0.5596446990966797,0.0,114,266212
train_000032,talhao_7_1,adulto,710030.1848800001,7698464.68149,710105.90968,7698540.40629,0.36048030853271484,0.36048030853271484,0.0,92,164574
train_000033,talhao_7_1,adulto,710045.3446300001,7698464.68149,710121.06943,7698540.40629,0.18541240692138672,0.18541240692138672,0.0,54,82511
train_000034,multiplos_mosaico,misto,709908.90688,7698449.52174,709984.63168,7698525.24654,0.15477752685546875,0.15477752685546875,0.0,22,100284
